Category,SubCategory,SubSubCategory,SubSubCategory (input),Filter Yes = Include No = Don't Include,Description
Criminal Intent,Court Orders,Fugitive,fugitive,Yes,"A fugitive from justice, also known as a wanted person, can be a person who is either convicted or accused of a crime and hiding from law enforcement in the state or taking refuge in a different country in order to avoid arrest"
Criminal Intent,Court Orders,Violation of Protective Order,violation_of_protective_order,Yes,The act of violating a court ordered protective or restraining order.
Criminal Intent,Court Orders,Violation of Treatment Program,violation_of_treatment_program,Yes,Not abiding by a court ordered treatment program.
Criminal Intent,Criminal Tools,Possession of Criminal Tools,possession_of_criminal_tools,Yes,To possess tools that are intended to facilitate crimes.
Criminal Intent,Criminal Tools,Use Motor Vehicle in Commission of a Crime,use_motor_vehicle_in_commission_of_a_crime,Yes,Using a motor vehicle during the course of commiting another crime.
Criminal Intent,Obstruction,Concealing Death,concealing_death,Yes,Hinders a discovery of the unlawful killing of another.
Criminal Intent,Obstruction,Escape,escape,Yes,Escape from penal institution.
Criminal Intent,Obstruction,Evidence Tampering,evidence_tampering,Yes,"Tampering with evidence can be any action that destroys, alters, conceals, or falsifies any sort of evidence."
Criminal Intent,Obstruction,Fail to Identify,fail_to_identify,Yes,Failure to give identifying information to authorities after arrest or being detained.
Criminal Intent,Obstruction,Fail to Obey Law Enforcement/Resist Arrest,fail_to_obey_law_enforcement_resist_arrest,Yes,Failing to obey instructions of law enforcement.  Includes resisting arrest from a law enforcement officer.
Criminal Intent,Obstruction,Fail to Register as Sex Offender,fail_to_register_as_sex_offender,Yes,Failure to register as a sex offender.  Often when moving addresses or changing personal information.
Criminal Intent,Obstruction,False Statement,false_statement,Yes,False statement to authorities.
Criminal Intent,Obstruction,Falsification of Drug Test,falsification_of_drug_test,Yes,Person who uses or posseses any substance or tool used to falsify the results of a drug test.
Criminal Intent,Obstruction,Fleeing or Attempting to Elude Arrest,fleeing_or_attempting_to_elude_arrest,Yes,Fleeing from law enforcement or hiding from law enforcement while being pursued.
Criminal Intent,Obstruction,Interfere with Public Safety Officer Duties,interfere_with_public_safety_officer_duties,Yes,"Unlawful conduct during emergency call, police or other emergency service."
Criminal Intent,Obstruction,Perjury,perjury,Yes,"Perjury is the intentional act of swearing a false oath or falsifying an affirmation to tell the truth, whether spoken or in writing, concerning matters material to an official proceeding."
Criminal Intent,Obstruction,Witness Tampering,witness_tampering,Yes,Witness tampering is the act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings.
Criminal Intent,Organized Crime,Gang Activity,gang_activity,Yes,Gang related offenses.
Criminal Intent,Court Orders,Habitual Offender,habitual_offender,Yes,Repeated convictions of crimes.  At the felony level this is a 'habitual felon' charge.  At less than felony level this is often for repeated traffic charges (habitual violator).
Criminal Intent,Organized Crime,Organized Crime,organized_crime,Yes,"Organized crime is a category of transnational, national, or local groupings of highly centralized enterprises run by criminals who intend to engage in illegal activity, most commonly for money and profit."
Criminal Intent,Organized Crime,Racketeering,racketeering,Yes,"A racket is a planned or organized criminal act, usually in which the criminal act is a form of business or a way to regularly, or briefly but repeatedly, earn illegal or extorted money."
Criminal Intent,Obstruction,Introduce Contraband into Correctional Facility,introduce_contraband_into_correctional_facility,Yes,"Smuggling or taking drugs, weapons, or other illicit items into penal institutions."
Drugs & Alcohol,Alcohol & Tobacco,Minor in Possession of Alcohol,minor_in_possession_of_alcohol,No,Underage possession of alcohol.
Drugs & Alcohol,Alcohol & Tobacco,Minor in Possession of Tobacco,minor_in_possession_of_tobacco,No,Underage possession of tobacco.
Drugs & Alcohol,Alcohol & Tobacco,Open Container,open_container,Yes,"Open container laws prohibit the existence of open containers of alcohol in certain areas, as well as the active consumption of alcohol in those areas"
Drugs & Alcohol,Alcohol & Tobacco,Public Intoxication,public_intoxication,Yes,"Public intoxication, also known as ""drunk and disorderly"" and drunk in public, is a summary offense in some countries rated to public cases or displays of drunkenness."
Drugs & Alcohol,Alcohol & Tobacco,Purchase Alcohol by Minor,purchase_alcohol_by_minor,Yes,Underage purchase of alcohol.
Drugs & Alcohol,Alcohol & Tobacco,Purchasing Alcohol for Minor,purchasing_alcohol_for_minor,Yes,When a person of age purchases alcohol for a minor.
Drugs & Alcohol,Alcohol & Tobacco,Unlawful Sale of Alcohol to Minor,unlawful_sale_of_alcohol_to_minor,Yes,Illegally selling alcohol to an underage person.
Drugs & Alcohol,Alcohol & Tobacco,Unlawful Sale of Tobacco to Minor,unlawful_sale_of_tobacco_to_minor,Yes,Illegally selling tobacco to an underage person.
Drugs & Alcohol,Alcohol & Tobacco,Unstamped Tobacco,unstamped_tobacco,No,Possessing tobacco without tax stamps - not paying tax on tobacco.
Drugs & Alcohol,Driving under the Influence (DUI),Driving Under the Influence,driving_under_the_influence,Yes,"Known as a DUI, this is when someone is driving a vehicle while drunk (BAC > .08%) or under the influence of drugs."
Drugs & Alcohol,Driving under the Influence (DUI),Driving Under the Influence (Recreational Vehi...,driving_under_the_influence_recreational_vehi,Yes,"Driving a boat, plane, bike, or other recreational vehicle under the influence."
Drugs & Alcohol,Driving under the Influence (DUI),Minor Driving under the Influence (DUI),minor_driving_under_the_influence_dui,Yes,A minor driving under the influence of drugs or alcohol.
Drugs & Alcohol,Driving under the Influence (DUI),Open Container in Vehicle,open_container_in_vehicle,Yes,Having an open container of alcohol in a vehicle while operating.
Drugs & Alcohol,Driving under the Influence (DUI),Physical Control,physical_control,Yes,Being in the driver's position of the front seat of a vehicle and having possession of the ignition key while under the influence of alcohol or drugs.
Drugs & Alcohol,Driving under the Influence (DUI),Refuse Chemical Test,refuse_chemical_test,Yes,Refusing to take a test for driving under the influence.
Drugs & Alcohol,Drugs-Marijuana Possession/Use,Marijuana Possession/Use,marijuana_possession_use,Yes,Possessing marijuana.
Drugs & Alcohol,Drugs-Possession/Use,Drug Possession,drug_possession,Yes,Possessing illegal drugs for personal use (does not include Marijuana).
Drugs & Alcohol,Drugs-Possession/Use,Intent to Possess Drugs,intent_to_possess_drugs,Yes,Loitering or trying to purchase illegal drugs.
Drugs & Alcohol,Drugs-Possession/Use,Possession of Drug Paraphernalia,possession_of_drug_paraphernalia,Yes,Possession of devices or instruments for illegal drug use.  Also includes purchasing or using illegal drug paraphernalia.
Drugs & Alcohol,Drugs-Possession/Use,Possession of Drug without Prescription,possession_of_drug_without_prescription,Yes,Possessing a medical drug without a prescription.
Drugs & Alcohol,Drugs-Possession/Use,Under the Influence of Illegal Drugs,under_the_influence_of_illegal_drugs,Yes,The act of illegal drug intoxication.
Drugs & Alcohol,Drugs-Sale & Manufacture,Maintain Drug House,maintain_drug_house,Yes,"Knowingly owns, leases, opens, or rents any place for the purpose of manufacturing, distributing, or using any controlled substance."
Drugs & Alcohol,Drugs-Sale & Manufacture,Marijuana Cultivation,marijuana_cultivation,Yes,Growing marijuana.
Drugs & Alcohol,Drugs-Sale & Manufacture,Marijuana Manufacture/Sell/Distribute,marijuana_manufacture_sell_distribute,Yes,Contributing to distribution and spread of marijuana.  Also includes possession with intent to sell Marijuana.
Drugs & Alcohol,Drugs-Sale & Manufacture,Possession with Intent to Sell,possession_with_intent_to_sell,Yes,Possession of drugs with intent to sell (does not include Marijuana)..
Drugs & Alcohol,Drugs-Sale & Manufacture,Sell/Distribute/Manufacture Counterfeit Drugs,sell_distribute_manufacture_counterfeit_drugs,Yes,Contributing to distribution and spread of counterfeit illegal drugs (does not include Marijuana).
Drugs & Alcohol,Drugs-Sale & Manufacture,Sell/Distribute/Manufacture Drugs,sell_distribute_manufacture_drugs,Yes,Contributing to distribution and spread of illegal drugs (does not include Marijuana).  If no drug is specified then choose this instead of Mairijuana distribution.
Fraud & Deception,Bribery & Corruption,Bribery,bribery,Yes,"Offering, giving, receiving, or soliciting of any item of value to influence the actions of an official or other person in charge of a public or legal duty."
Fraud & Deception,Bribery & Corruption,Corruption,corruption,Yes,Dishonest or fraudulent conduct by those in power.
Fraud & Deception,Bribery & Corruption,Official Misconduct,official_misconduct,Yes,"Commission of an unlawful act, done in an official capacity, which affects the performance of official duties."
Fraud & Deception,Bribery & Corruption,Use Public Influence,use_public_influence,Yes,Using position of power to force unwanted conduct or actions.
Fraud & Deception,Business & Tax,Business Violations,business_violations,No,"Various business violations that do not include the following (Contracting without a License, Failure to Pay Wages, No Business License, Tax Violation)."
Fraud & Deception,Business & Tax,Contracting without a License,contracting_without_a_license,No,Providing labor or materials professionally without a license.
Fraud & Deception,Business & Tax,Failure to Pay Wages,failure_to_pay_wages,No,Failure to pay employee wages.
Fraud & Deception,Business & Tax,No Business License,no_business_license,No,Operating a business without a license.
Fraud & Deception,Business & Tax,Tax Violation,tax_violation,No,"Failure to file, pay, or any other violation of the tax code."
Fraud & Deception,Cyber Crimes,Cyber Crimes,cyber_crimes,Yes,"Use of computer, communication facility or network to commit criminal act.  Does not include child pornography, nor solicitation of minor via computer."
Fraud & Deception,Embezzlement,Embezzlement,embezzlement,Yes,"Embezzlement is the act of withholding assets for the purpose of conversion (theft) of such assets, by one or more persons to whom the assets were entrusted, either to be held or to be used for specific purposes."
Fraud & Deception,Forgery,Counterfeiting,counterfeiting,Yes,Counterfeit products are fakes or unauthorized replicas of the real product.
Fraud & Deception,Forgery,Fake/False/Altered Identification,fake_false_altered_identification,Yes,Creating or trafficking in fake or unauthorized identification documents.
Fraud & Deception,Forgery,Fictitious Plates,fictitious_plates,Yes,"Fake or unauthorized vehicle license plates, registration or tags."
Fraud & Deception,Forgery,Forgery,forgery,Yes,"Forgery is the process of making, adapting, or imitating objects, statistics, or documents with the intent to deceive for the sake of altering the public perception, or to earn profit by selling the forged item."
Fraud & Deception,Forgery,Prescription Forgery,prescription_forgery,Yes,Forging medical prescriptions.
Fraud & Deception,Forgery,Tamper with Official Record,tamper_with_official_record,Yes,"Manipulating, falsifying, or destroying official records.  Does not include tampering with victim or evidence of a criminal case."
Fraud & Deception,Fraud,Bank/Securities Fraud,bank_securities_fraud,Yes,"Security fraud, also known as stock fraud and investment fraud, is a deceptive practice in the stock or commodities markets that induces investors to make purchase or sale decisions on the basis of false information, frequently resulting in losses, in violation of securities laws."
Fraud & Deception,Fraud,Benefits/Welfare Fraud,benefits_welfare_fraud,Yes,Submitting false or misleading information to a government agency in order to obtain a benefit.  Includes food stamp fraud and welfare code violations.
Fraud & Deception,Fraud,Bigamy,bigamy,No,Bigamy is the act of entering into a marriage with one person while still legally married to another.
Fraud & Deception,Fraud,Check Fraud,check_fraud,Yes,Fraudulently using checks.  More intent to decieve than a worthless or bad check.
Fraud & Deception,Fraud,Credit Card Fraud,credit_card_fraud,Yes,"Credit card fraud is a wide-ranging term for theft and fraud committed using or involving a payment card, such as a credit card or debit card, as a fraudulent source of funds in a transaction."
Fraud & Deception,Fraud,Fraud,fraud,Yes,Wrongful or criminal deception intended to result in financial or personal gain. Also includes concealment of financial assets or property.
Fraud & Deception,Fraud,Health Care Fraud,health_care_fraud,Yes,Fraud related to medicine or health care.
Fraud & Deception,Fraud,Insurance Fraud,insurance_fraud,Yes,Insurance fraud is any act committed with the intent to obtain a fraudulent outcome from an insurance process.
Fraud & Deception,Fraud,Money Laundering,money_laundering,Yes,"Money laundering is the process of transforming the profits of crime and corruption into ostensibly ""legitimate"" assets."
Fraud & Deception,Identity Theft & Impersonation,Criminal Impersonation,criminal_impersonation,Yes,Impersonating another person for financial or other gain.
Fraud & Deception,Identity Theft & Impersonation,Identity Theft,identity_theft,Yes,"Identity theft occurs when someone uses another's personally identifying information, like their name, identifying number, or credit card number, without their permission, to commit fraud or other crimes."
Fraud & Deception,Identity Theft & Impersonation,Impersonating an Officer,impersonating_an_officer,Yes,Impersonating an officer or public official - often to commit a crime.
Fraud & Deception,Identity Theft & Impersonation,Possess Fake ID,possess_fake_id,Yes,Possessing fake identification.
Fraud & Deception,Identity Theft & Impersonation,Unlawful Use of ID,unlawful_use_of_id,Yes,"Unlawfully using identification to gain entry or access to property, finances, or any other purpose."
Fraud & Deception,Worthless Check,Worthless Instrument,worthless_instrument,Yes,"Bad check, worthless check, or any other worthless document used to exchange money.  Less fraudulent intent than check fraud."
Homicide,Attempted Homicide,Attempted Homicide,attempted_homicide,Yes,Attempt to kill another person.
Homicide,Intentional Homicide,Intentional Homicide,intentional_homicide,Yes,Intentionally kill another person.
Homicide,Unintentional Killing,Hit & Run Causing Death,hit_and_run_causing_death,Yes,Causing death via a vehicle and not stopping at scene of accident.
Homicide,Unintentional Killing,Manslaughter,manslaughter,Yes,"The crime of killing a human being without malice aforethought, or otherwise in circumstances not amounting to murder.  Does not include driving causing death."
Homicide,Unintentional Killing,Negligent Homicide,negligent_homicide,Yes,Allowing another person to die through criminal negligence.
Homicide,Unintentional Killing,Reckless Driving Causing Death,reckless_driving_causing_death,Yes,Causing a death from reckless driving.  Includes driving under the influence causing death.
Security,Immigration,Assisting Illegal Alien,assisting_illegal_alien,Yes,Aiding or assisting an illegal immigrant.
Security,Immigration,Illegal Immigration,illegal_immigration,Yes,"Illegal immigration is the illegal entry of a person or a group of persons across a country's border, in a way that violates the immigration laws of the destination country, with the intention to remain in the country."
Security,Terrorism,Terrorism,terrorism,Yes,"Terrorism is, in the broadest sense, the use of intentionally indiscriminate violence as a means to create terror, or fear, to achieve a political, religious or ideological aim."
Security,Terrorism,Terroristic Threats,terroristic_threats,Yes,"To threaten violence, endangerment, or other terroristic acts."
Security,Treason,Misprision,misprision,Yes,Concealing a felony or serious crime to a state.
Security,Treason,Treason,treason,Yes,The offense of attempting to overthrow the government of one's country or of assisting its enemies in war.  Includes spying and treason.
Sexual,Lewd Behavior,Improper Sexual Relationship,improper_sexual_relationship,No,Relationship with someone of age and someone not of age.  Does not include lewd acts with a minor.  Commonly a student/teacher relationship.
Sexual,Lewd Behavior,Indecent Exposure,indecent_exposure,No,The crime of intentionally showing one's sexual organs in public.
Sexual,Lewd Behavior,Lewd & Lascivious Activity/Conduct/Behavior,lewd_and_lascivious_activity_conduct_behavior,No,"Offense sexual in conduct, usually involving touching, not as severe as rape or sexual assault."
Sexual,Lewd Behavior,STD Exposure,std_exposure,No,Exposing another to a sexually transmitted disease by concealment.  Includes giving HIV to another.
Sexual,Lewd Behavior,Voyeurism,voyeurism,No,The practice of gaining sexual pleasure from watching others when they are naked or engaged in sexual activity.
Sexual,Prostitution,Promoting Prostitution,promoting_prostitution,Yes,Promoting sex work - running a brothel or other area of prositution.
Sexual,Prostitution,Prostitution,prostitution,Yes,Engage in sexual acts for compensation.
Sexual,Prostitution,Prostitution Involving Minor,prostitution_involving_minor,Yes,Engage in sexual acts with a minor for compensation.
Sexual,Prostitution,Soliciting a Prostitute,soliciting_a_prostitute,Yes,Requesting or seeking out sexual acts for money.
Sexual,Sexual Abuse,Child Pornography,child_pornography,Yes,Pornography involving children.
Sexual,Sexual Abuse,Incest,incest,No,Incest is sexual activity between family members or close relatives.
Sexual,Sexual Abuse,Lewd Behavior with a Minor,lewd_behavior_with_a_minor,Yes,Crude and offensive conduct that is sexual in nature with a minor.
Sexual,Sexual Abuse,Pandering Obscenities,pandering_obscenities,Yes,Creating or distributing sexual acts on camera without consent.
Sexual,Sexual Abuse,Rape,rape,Yes,Forced sexual intercourse with another person.
Sexual,Sexual Abuse,Sexual Assault,sexual_assault,Yes,Unwanted sexual contact.
Sexual,Sexual Abuse,Sexual Assault of a Minor,sexual_assault_of_a_minor,Yes,Unwanted sexual contact with a minor.
Sexual,Sexual Abuse,Sodomy,sodomy,Yes,Sexual intercourse involving anal or oral copulation.
Statutory,Animal Ordinances,Animal at Large,animal_at_large,No,"An animal at large refers to a domestic animal which is free, unrestrained or not under control."
Statutory,Animal Ordinances,Animal Ordinance,animal_ordinance,No,"General animal law not being followed.  Does not include other defined categories (e.g. Vicious Animal, Not Tag on Animal)."
Statutory,Animal Ordinances,Failure to Vaccinate,failure_to_vaccinate,No,Failure to vaccinate animal.  Includes not having a vaccination tag on animal.
Statutory,Animal Ordinances,Improper Confinement,improper_confinement,No,"Improperly confining, restraining, or sheltering an animal. (mistreatment of animals)"
Statutory,Animal Ordinances,No Animal License/Registration,no_animal_license_registration,No,No license or registration for a pet.  Includes no license tag.
Statutory,Animal Ordinances,Vicious Animal,vicious_animal,No,Owning a vicious animal that is abrasive to human interaction.
Statutory,Custody & Support,Allow Unlicensed to Drive,allow_unlicensed_to_drive,Yes,Allowing a person who is unlicensed to drive.
Statutory,Custody & Support,Curfew Violation,curfew_violation,No,A minor is out past city/county/state mandated curfew or a parent allows their minor child to be out past city/county/state mandated curfew.
Statutory,Custody & Support,Interference with Custody,interference_with_custody,No,Interfering with the custody of a child without privledge to do so.
Statutory,Custody & Support,Nonsupport of Dependents,nonsupport_of_dependents,No,Failure to pay child support or other dependent related expenses or care.
Statutory,Custody & Support,Truancy,truancy,No,A parent allowing a child to have any unjustified absence from compulsory education.
Statutory,Fish & Game,Fishing/Hunting without License,fishing_hunting_without_license,No,Fishing or hunting without a license.
Statutory,Fish & Game,Miscellaneous Wildlife Violation,miscellaneous_wildlife_violation,No,"Any other wildlife violation that doesn't include unlawful possession of animal, unlawful sale of animal, or fishing/hunting without a license."
Statutory,Fish & Game,Unlawful Possession of Animal,unlawful_possession_of_animal,No,Unlawfully possessing an animal.
Statutory,Fish & Game,Unlawful Sale of Animal,unlawful_sale_of_animal,No,Unlawful sale of an animal.
Statutory,Gambling,Participate Gambling/Lottery Activity,participate_gambling_lottery_activity,No,Participating in illegal gambling or lottery activity.
Statutory,Gambling,Promote Gambling/Lottery Activity,promote_gambling_lottery_activity,No,Maintaining an illegal gambling establishment or selling illegal gambling or lottery devices.
Statutory,Miscellaneous Citations & Violations,Biking or Skateboarding Offense,biking_or_skateboarding_offense,No,"Bicycle, skateboard, or other similar recreational vehicle citation or violation."
Statutory,Miscellaneous Citations & Violations,Failure to Pay Toll,failure_to_pay_toll,Yes,"Failure to pay a toll for road, bridge or other transportation means."
Statutory,Miscellaneous Citations & Violations,Failure to Pay Transit Fare,failure_to_pay_transit_fare,No,Failing to pay the fare for public transportation.
Statutory,Miscellaneous Citations & Violations,Miscellaneous Citation or Violation,miscellaneous_citation_or_violation,No,Any other citation or violation.
Statutory,Miscellaneous Citations & Violations,Non-Criminal Solicitation,non-criminal_solicitation,No,"Unlawfully begging, seeking donations, or conducting door to door sales."
Statutory,Miscellaneous Citations & Violations,Water Use Violation,water_use_violation,No,Using water on restricted days and times.
Statutory,Public Nuisance,Disorderly Conduct,disorderly_conduct,Yes,Obnoxious or unruly conduct in public.
Statutory,Public Nuisance,Littering,littering,No,Trash and other materials disposed of on the ground.
Statutory,Public Nuisance,Loitering,loitering,No,Loitering is the act of remaining in a particular public place for a protracted time without any apparent purpose.
Statutory,Public Nuisance,Maintain a Disorderly House,maintain_a_disorderly_house,No,Maintaining a place where public nuisance or other disorderly conduct takes place.
Statutory,Public Nuisance,Noise Ordinance Violation,noise_ordinance_violation,No,Unreasonable loud noises that are a detriment to public welfare.
Statutory,Public Nuisance,Obstruct Passageway,obstruct_passageway,No,"Blocking a roadway or sidewalk with a vehicle, one's body, or other object."
Statutory,Public Nuisance,Public Urination,public_urination,No,Urinating in public.
Statutory,Public Nuisance,Unlawful Storage,unlawful_storage,No,Wrongfully storing junk materials.
Statutory,Safety & Zoning,Burning Violation,burning_violation,No,Open burning in prohibited areas or at prohibited times.
Statutory,Safety & Zoning,Hazardous Materials,hazardous_materials,No,Not abiding by law for dangerous or toxic materials.
Statutory,Safety & Zoning,Illegal Fireworks,illegal_fireworks,No,Possessing and using fireworks illegally.
Statutory,Safety & Zoning,Sanitation Violation,sanitation_violation,No,Violation of sanitation codes which require cleanliness and the safe disposal of all trash and debris.
Statutory,Safety & Zoning,Zoning Violation,zoning_violation,No,A zoning violation is when a property does not meet the regulations as governed in the Zoning Ordinance.
Theft & Property,Arson,Arson,arson,Yes,"Arson is a crime of intentionally, deliberately and maliciously setting fire to buildings, wildland areas, abandoned homes, vehicles or other property with the intent to cause damage."
Theft & Property,Burglary,Burglary,burglary,Yes,Burglary (also called breaking and entering and sometimes housebreaking) is an unlawful entry into a building or other location for the purposes of committing an offence.
Theft & Property,Petty Theft,Petty Theft,petty_theft,Yes,Petty theft is a type of theft crime that is based on the low value of the stolen property.
Theft & Property,Petty Theft,Retail Theft,retail_theft,Yes,Shoplifting or a theft that takes place in a retail store.  Includes concealment/price altering.
Theft & Property,Possession of Stolen Property,Dealing Stolen Property,dealing_stolen_property,Yes,Distributing/selling property that is known to be stolen.
Theft & Property,Possession of Stolen Property,Possession/Receipt of Stolen Property,possession_receipt_of_stolen_property,Yes,Possessing or buying property that is known to be stolen.
Theft & Property,Robbery,Armed Robbery,armed_robbery,Yes,Robbery involving use of a weapon.
Theft & Property,Robbery,Carjacking,carjacking,Yes,Carjacking is a robbery in which the item taken over is a vehicle.
Theft & Property,Robbery,Robbery,robbery,Yes,"Robbery is the crime of taking or attempting to take anything of value by force, threat of force, or by putting the victim in fear."
Theft & Property,Theft,Auto Theft,auto_theft,Yes,Stealing a car (not a robbery/carjacking).
Theft & Property,Theft,Credit Card Theft,credit_card_theft,Yes,Stealing a credit card or card information.
Theft & Property,Theft,Criminal Conversion,criminal_conversion,Yes,A person who knowingly or intentionally exerts unauthorized control over property of another person commits criminal conversion.
Theft & Property,Theft,Grand Theft (Non Auto),grand_theft_non_auto,Yes,Theft of high value property. (Value over $500 in most jurisdictions or as otherwise indicated in the charge name)
Theft & Property,Theft,Theft,theft,Yes,General stealing.
Theft & Property,Theft,Unauthorized Use of Property,unauthorized_use_of_property,Yes,"Using property without permission of owner, oftentimes a car."
Theft & Property,Trespassing,Prowling,prowling,Yes,Prowling generally refers to the crime of lurking in an area with an intent to commit a crime.
Theft & Property,Trespassing,Trespassing,trespassing,Yes,To enter an owner's land or property without permission.
Theft & Property,Trespassing,Unlawful Entry,unlawful_entry,Yes,Unlawful entry is entering property for the purpose of damaging the property or interfering with the lawful use of the property by the rightful owner of the property.
Theft & Property,Vandalism & Mischief,Graffiti,graffiti,Yes,"Writing or drawings scribbled, scratched, or sprayed illicitly on a wall or other surface in a public place."
Theft & Property,Vandalism & Mischief,Vandalism & Mischief,vandalism_and_mischief,Yes,Recklessly defacing or damaging property of another person.  Involves Criminal Damage.
Vehicles & Traffic,License & Registration,Driver's License not in Possession,drivers_license_not_in_possession,Yes,Not possessing driver's license while operating a vehicle.  Example is when you left it at home.
Vehicles & Traffic,License & Registration,Invalid Vehicle Inspection,invalid_vehicle_inspection,Yes,Not possessing a valid vehicle inspection document.
Vehicles & Traffic,License & Registration,No Valid Registration,no_valid_registration,Yes,Using a vehicle with no valid registration of a vehicle.  Also includes no valid license plates or tags.
Vehicles & Traffic,License & Registration,Operate a Vehicle without Insurance,operate_a_vehicle_without_insurance,Yes,Operating a vehicle without insurance.  Sometimes known as failure to provide financial responsibility.
Vehicles & Traffic,License & Registration,Operate a Vehicle without valid Driver's License,operate_a_vehicle_without_valid_drivers_license,Yes,"Not having a valid driver's license while operating a vehicle.  Not simply left at home, but not generallly having a valid license."
Vehicles & Traffic,License & Registration,Wrongful Entrustment,wrongful_entrustment,Yes,Wrongful entrustement of vehicle to one while knowing they cannot legally drive.
Vehicles & Traffic,Parking,Disabled Parking Violation,disabled_parking_violation,Yes,Handicap parking violation.
Vehicles & Traffic,Parking,Illegally Parked,illegally_parked,Yes,Parking in restricted areas or in unrestricted areas for illegal amounts of time.
Vehicles & Traffic,Speeding,Speeding,speeding,Yes,Driving a vehicle above speed limit.
Vehicles & Traffic,Unsafe Operation,Accident Involving Damage/Injury,accident_involving_damage_injury,Yes,"Reckless driving causing accident, Involvoing 2 or more vehicles in motion"
Vehicles & Traffic,Unsafe Operation,Disobey Traffic Rules,disobey_traffic_rules,Yes,"Disobeying traffic rules such as a traffic light, stop sign, or other traffic signal."
Vehicles & Traffic,Unsafe Operation,Distracted Driving,distracted_driving,Yes,Not paying proper attention to road while driving by means of using a phone or some other activity.
Vehicles & Traffic,Unsafe Operation,Failure to Report Accident,failure_to_report_accident,Yes,Failure to report an accident to insurance and/or authorities.
Vehicles & Traffic,Unsafe Operation,Failure to Stop at Scene of Accident,failure_to_stop_at_scene_of_accident,Yes,Failing to stop when witnessing an accident or involved in (but not causing) an accident.
Vehicles & Traffic,Unsafe Operation,Hit & Run,hit_and_run,Yes,Causing an accident with vehicle and leaving the scene or striking an unattended vehicle or stationary object
Vehicles & Traffic,Unsafe Operation,Hit & Run Causing Injury,hit_and_run_causing_injury,Yes,Causing injury (to either a person or property) via a vehicle and not stopping at scene of accident.
Vehicles & Traffic,Unsafe Operation,Racing,racing,Yes,Racing a vehicle.
Vehicles & Traffic,Unsafe Operation,Reckless or Negligent Operation,reckless_or_negligent_operation,Yes,Reckless operation of vehicle.  This is more severe than failing to obey traffic rules.  Needs to signify some sort of recklessness or unsafe operation.
Vehicles & Traffic,Unsafe Operation,Recreational Vehicle Unsafe Operation,recreational_vehicle_unsafe_operation,Yes,"Unsafe operation of ATV, boat, plane, etc.."
Vehicles & Traffic,Unsafe Operation,Unlawfully Operate Commercial Vehicle,unlawfully_operate_commercial_vehicle,Yes,"General unlawfully operating commercial motor vehicle - can include charges such as exceeding maximum drive time, etc."
Vehicles & Traffic,Vehicle Equipment,Car Seat/Child Restraint Violation,car_seat_child_restraint_violation,Yes,Not using seatbelt or car seat on child when required.
Vehicles & Traffic,Vehicle Equipment,Commercial Motor Vehicle Equipment Violation,commercial_motor_vehicle_equipment_violation,Yes,"Broken, illegal, or unsafe vehicle equipment (e.g. speedometer, wheels, license plate lights, etc..) on a commerical motor vehicle."
Vehicles & Traffic,Vehicle Equipment,Defective Vehicle Equipment,defective_vehicle_equipment,Yes,"Broken, illegal, or unsafe vehicle equipment (e.g. speedometer, wheels, license plate lights, etc..)."
